GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mamoji-api,com.mamoji,MamojiApplication,5,3,0,0,2,1,1,1,1,1
mamoji-api,com.mamoji.module.account.controller,AccountController,67,0,0,0,14,0,7,0,7,0
mamoji-api,com.mamoji.module.category.service,CategoryServiceImpl,48,279,14,14,8,68,14,9,0,9
mamoji-api,com.mamoji.common.exception,GlobalExceptionHandler,114,7,2,0,26,2,10,2,9,2
mamoji-api,com.mamoji.common.exception,BusinessException,21,13,0,0,8,4,2,1,2,1
mamoji-api,com.mamoji.module.auth.service,AuthServiceImpl,14,208,6,14,2,54,6,10,0,6
mamoji-api,com.mamoji.config,CacheConfig,25,0,0,0,12,0,2,0,2,0
mamoji-api,com.mamoji.config,SecurityConfig,0,74,0,0,0,15,0,6,0,6
mamoji-api,com.mamoji.config,MybatisPlusConfig.new MetaObjectHandler() {...},0,29,0,0,0,6,0,3,0,3
mamoji-api,com.mamoji.config,CorsConfig,0,58,0,0,0,17,0,2,0,2
mamoji-api,com.mamoji.config,MybatisPlusConfig,0,39,0,0,0,10,0,3,0,3
mamoji-api,com.mamoji.config,RedisConfig,22,89,4,4,2,27,4,3,0,3
mamoji-api,com.mamoji.module.report.controller,ReportController,68,0,6,0,16,0,7,0,4,0
mamoji-api,com.mamoji.module.auth.controller,AuthController,49,0,4,0,13,0,7,0,5,0
mamoji-api,com.mamoji.module.category.controller,CategoryController,49,0,4,0,11,0,6,0,4,0
mamoji-api,com.mamoji.module.report.service,ReportServiceImpl,28,576,18,36,5,131,18,16,0,7
mamoji-api,com.mamoji.module.account.service,AccountServiceImpl,52,345,26,24,9,82,23,12,0,10
mamoji-api,com.mamoji.common.result,Result,33,26,0,0,15,11,3,2,3,2
mamoji-api,com.mamoji.common.result,PageResult,0,25,0,0,0,8,0,1,0,1
mamoji-api,com.mamoji.common.result,ResultCode,0,199,0,0,0,31,0,1,0,1
mamoji-api,com.mamoji.module.transaction.controller,TransactionController,47,0,0,0,10,0,5,0,5,0
mamoji-api,com.mamoji.common.utils,DtoConverter,46,0,6,0,12,0,6,0,3,0
mamoji-api,com.mamoji.module.transaction.service,TransactionServiceImpl,155,456,42,28,24,100,36,12,1,12
mamoji-api,com.mamoji.module.budget.service,BudgetServiceImpl,51,369,25,26,12,89,25,13,0,11
mamoji-api,com.mamoji.security,JwtTokenProvider,189,112,9,1,55,33,12,8,7,8
mamoji-api,com.mamoji.security,UserPrincipal,0,9,0,0,0,1,0,1,0,1
mamoji-api,com.mamoji.security,JwtAuthenticationFilter,59,25,6,2,13,8,4,3,0,3
mamoji-api,com.mamoji.module.budget.controller,BudgetController,0,56,0,2,0,13,0,6,0,5
